00:07:28,https://www.google.co.jp/,Windows NT ,Netscape 6.0,110-133-185-20.rev.home.ne.jp [ 110.133.185.20 ],,Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML， like Gecko) Chrome/55.0.2883.87 Safari/537.36,,,
00:07:59,,Windows NT ,Netscape 6.0,58-189-231-220f1.hyg2.eonet.ne.jp [ 58.189.231.220 ],,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,,,
00:08:40,,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTML， like Gecko) Version/10.0 Mobile/14C92 Safari/602.1 (etc),Netscape 6.0,i223-217-118-79.s41.a010.ap.plala.or.jp [ 223.217.118.79 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTML， like Gecko) Version/10.0 Mobile/14C92 Safari/602.1,,,
00:11:27,https://www.google.co.jp/,Windows NT ,Netscape 6.0,z202068.dynamic.ppp.asahi-net.or.jp [ 110.4.202.68 ],,Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML， like Gecko) Chrome/55.0.2883.87 Safari/537.36,,,
00:12:07,,Windows XP,MSIE 8.0,222.111.199.129 [ 222.111.199.129 ],,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0),,,
00:28:27,,Windows NT ,Netscape 6.0,OSCfx-05p9-124.ppp11.odn.ad.jp [ 39.3.85.124 ],,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,,,
00:34:09,,Mozilla/5.0 (iPad; CPU OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML， like Gecko) Version/10.0 Mobile/14A456 Safari/602.1 (etc),Netscape 6.0,O215080.ppp.dion.ne.jp [ 211.134.215.80 ],,Mozilla/5.0 (iPad; CPU OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML， like Gecko) Version/10.0 Mobile/14A456 Safari/602.1,,,
00:35:15,,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2_1 like Mac OS X) AppleWebKit/602.4.6 (KHTML， like Gecko) Version/10.0 Mobile/14D27 Safari/602.1 (etc),Netscape 6.0,O214042.ppp.dion.ne.jp [ 211.134.214.42 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2_1 like Mac OS X) AppleWebKit/602.4.6 (KHTML， like Gecko) Version/10.0 Mobile/14D27 Safari/602.1,,,
00:38:25,https://womenknow.ru/239-skiny-dlya-pleera-aimp.html,Mozilla/3.0 (compatible; MSIE4.00; Windows 2002) (etc),Netscape 3.0,ptr.ruvds.com [ 195.133.48.150 ],,Mozilla/3.0 (compatible; MSIE4.00; Windows 2002),,,
00:43:11,http://tsrwood.ru/fidzi.html,Mozilla/7.0 (compatible; MSIE7.00; Windows 2005) (etc),Netscape 7.0,ptr.ruvds.com [ 195.133.145.95 ],,Mozilla/7.0 (compatible; MSIE7.00; Windows 2005),,,
00:44:13,,Macintosh,Netscape 6.0,h101-111-235-169.catv02.itscom.jp [ 101.111.235.169 ],,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_8) AppleWebKit/534.50.2 (KHTML， like Gecko) Version/5.0.6 Safari/533.22.3,,,
00:44:50,https://it-sektor.ru/trusteer-obnaruzhena-novaya-raznovidnost-bankovskogo-troyana-zeus.html,Mozilla/5.0 (compatible; MSIE4.00; Windows 2006) (etc),Netscape 6.0,ptr.5x00.com [ 193.124.131.168 ],,Mozilla/5.0 (compatible; MSIE4.00; Windows 2006),,,
00:46:01,,Linux,Netscape 6.0,sp1-75-247-146.msb.spmode.ne.jp [ 1.75.247.146 ],,Mozilla/5.0 (Linux; U; Android 4.2.2; ja-jp; F-06E Build/V26R52D) AppleWebKit/534.30 (KHTML， like Gecko) Version/4.0 Mobile Safari/534.30,,,
00:48:20,http://window-master23.ru/zamena-remont-furnitury/,Mozilla/4.0 (compatible; MSIE7.00; Windows 2006) (etc),Netscape 4.0,piterskiyua.example.com [ 178.159.43.212 ],,Mozilla/4.0 (compatible; MSIE7.00; Windows 2006),,,
00:48:24,http://search.yahoo.co.jp/,Linux,Netscape 6.0,sp1-72-0-232.msc.spmode.ne.jp [ 1.72.0.232 ],,Mozilla/5.0 (Linux; Android 6.0.1; F-04G Build/V14R51E; wv) AppleWebKit/537.36 (KHTML， like Gecko) Version/4.0 Chrome/55.0.2883.91 Mobile Safari/537.36 YJApp-ANDROID jp.co.yahoo.android.yjtop/3.3.2,,,
00:51:34,http://search.yahoo.co.jp/,Linux,Netscape 6.0,sp1-72-0-232.msc.spmode.ne.jp [ 1.72.0.232 ],,Mozilla/5.0 (Linux; Android 6.0.1; F-04G Build/V14R51E; wv) AppleWebKit/537.36 (KHTML， like Gecko) Version/4.0 Chrome/55.0.2883.91 Mobile Safari/537.36 YJApp-ANDROID jp.co.yahoo.android.yjtop/3.3.2,,,
00:51:42,http://www.ishodnikru.ru/?cat=6,Mozilla/8.0 (compatible; MSIE3.00; Windows 2008) (etc),Netscape 8.0,194.87.239.5 [ 194.87.239.5 ],,Mozilla/8.0 (compatible; MSIE3.00; Windows 2008),,,
00:53:16,,Windows NT ,Netscape 6.0,214.227.156.59.ap.yournet.ne.jp [ 59.156.227.214 ],,Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML， like Gecko) Chrome/55.0.2883.87 Safari/537.36,,,
00:53:34,https://search.yahoo.co.jp/,Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_1 like Mac OS X) AppleWebKit/602.1.50 (KHTML， like Gecko) Version/10.0 Mobile/14A403 Safari/602.1 (etc),Netscape 6.0,KD106159038074.ppp-bb.dion.ne.jp [ 106.159.38.74 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_1 like Mac OS X) AppleWebKit/602.1.50 (KHTML， like Gecko) Version/10.0 Mobile/14A403 Safari/602.1,,,
00:55:30,http://burger-imperia.com/,X11,Mozilla 5.0,destiny.enn.lu [ 94.242.246.23 ],,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML， like Gecko) Chrome/37.0.2062.120 Safari/537.36,,,
00:55:33,http://hundejo.com/,X11,Mozilla 5.0,destiny.enn.lu [ 94.242.246.23 ],,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML， like Gecko) Chrome/37.0.2062.120 Safari/537.36,,,
00:59:00,,Hatena Antenna/0.5 (http://a.hatena.ne.jp/help) (etc),Hatena Antenna/0.5 (http://a.hatena.ne.jp/help) (etc),gw08.hatena.ne.jp [ 59.106.108.116 ],,Hatena Antenna/0.5 (http://a.hatena.ne.jp/help),,,
01:04:08,,Mozilla/5.0 (iPad; CPU OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTML， like Gecko) Version/10.0 Mobile/14C92 Safari/602.1 (etc),Netscape 6.0,KD036008113184.ppp-bb.dion.ne.jp [ 36.8.113.184 ],,Mozilla/5.0 (iPad; CPU OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTML， like Gecko) Version/10.0 Mobile/14C92 Safari/602.1,,,
01:10:28,http://aviav.co,Mozilla/2.0 (compatible; MSIE7.00; Windows 2002) (etc),Netscape 2.0,unspecified.mtw.ru [ 194.87.238.17 ],,Mozilla/2.0 (compatible; MSIE7.00; Windows 2002),,,
01:11:31,,Macintosh,Netscape 6.0,191.ip-149-56-131.net [ 149.56.131.191 ],,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:29.0) Gecko/20100101 Firefox/29.0,,,
01:11:32,,Macintosh,Netscape 6.0,191.ip-149-56-131.net [ 149.56.131.191 ],,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:29.0) Gecko/20100101 Firefox/29.0,,,
01:17:35,http://oooh.pro/seks-igrushki/seks-kukly,Mozilla/4.0 (compatible; MSIE3.00; Windows 2007) (etc),Netscape 4.0,ptr.ruvds.com [ 195.133.144.24 ],,Mozilla/4.0 (compatible; MSIE3.00; Windows 2007),,,
01:20:28,http://aviav.ru.com,Mozilla/7.0 (compatible; MSIE3.00; Windows 2006) (etc),Netscape 7.0,ptr.ruvds.com [ 195.133.147.89 ],,Mozilla/7.0 (compatible; MSIE3.00; Windows 2006),,,
01:28:24,http://converse-online.ru,Mozilla/5.0 (compatible; MSIE6.00; Windows 2008) (etc),Netscape 6.0,unspecified.mtw.ru [ 194.87.234.246 ],,Mozilla/5.0 (compatible; MSIE6.00; Windows 2008),,,
